brm,dot,delta_g_xx,delta_g_xy,delta_g_zx,delta_g_zy
-0.4,left,-0.06180784222341831,-0.1993723492176274,-0.07356547714268162,0.14424627974898746
-0.43,left,-0.06021555994523956,-0.19460586832327414,-0.03862259191295522,0.09994714567926416
-0.46,left,-0.06203086181798522,-0.18403577320809328,-0.02478464926212023,0.057695204627433605
-0.49,left,-0.0647811490248981,-0.1734402456816157,-0.024649225094822157,0.021432158310015565
-0.52,left,-0.06755780637994892,-0.16474268357639443,-0.032161606856896376,-0.009043070378521659
-0.55,left,-0.07011470712637151,-0.1582494362673668,-0.04330140494945784,-0.03483470952718403
-0.58,left,-0.07244648587748799,-0.15375025707717319,-0.0558744583486513,-0.05702553442869745
-0.61,left,-0.07460052115855245,-0.15091955553897823,-0.06894355071070445,-0.07642746481148148
-0.64,left,-0.07658940020862233,-0.14943435962986665,-0.08226606865136152,-0.09353971178729675
-0.67,left,-0.07806623164477816,-0.1491867048271555,-0.0985394782177768,-0.10779885248258528
-0.7,left,-0.07888726261635899,-0.15018181511628503,-0.11766843335412269,-0.11918726457748278
