brm,dot,delta_g_xx,delta_g_xy,delta_g_zx,delta_g_zy
-0.4,right,-0.05162020130687358,0.1567165300000499,-0.08791362233937403,-0.16982329967825335
-0.43,right,-0.049544599315646635,0.1526150904207226,-0.055094030889237214,-0.12219755398089939
-0.46,right,-0.05143587463755304,0.14263202342955014,-0.04240418564553067,-0.07718985772170067
-0.49,right,-0.054696224881963226,0.13255965391415236,-0.042840954786748285,-0.03820961634068899
-0.52,right,-0.058251505691987136,0.12419467435101529,-0.05073940617772168,-0.0048026482527957015
-0.55,right,-0.0617491096812132,0.11790174955248048,-0.06230895481550487,0.024105799882063673
-0.58,right,-0.06508457493437132,0.11349633699997692,-0.07537733568200976,0.04942681232061346
-0.61,right,-0.06824762588944489,0.11062176951372302,-0.08855830435672485,0.0718859035646638
-0.64,right,-0.07120505274026168,0.10894627901633003,-0.10199561439263949,0.09184931711246658
-0.67,right,-0.07369015657931899,0.10845136546053517,-0.11830508443705541,0.1088743444643632
-0.7,right,-0.0756105555590445,0.10923332480021991,-0.13740643377539716,0.12300169300203284
