X,Y,displacement_x,displacement_y,displacement_z
-501.25,-518.05,-2.8861024644976295e-20,-2.7762396914752785e-20,9.627357952495056e-22
-498.7437343358396,-518.05,-5.124995138576837e-18,-4.929906369353903e-18,1.7095776505102228e-19
-496.2374686716792,-518.05,-1.1047209455276131e-18,-1.5629684120794074e-18,-4.997378342905852e-19
-493.7312030075188,-518.05,-9.17591112660118e-18,-1.300765188787751e-17,-5.6518636683535214e-18
-491.2249373433584,-518.05,-1.7615537263252053e-17,-2.4845045423897666e-17,-1.8690459988051083e-17
-488.718671679198,-518.05,-5.212264000472185e-18,-1.2607081101513968e-17,-6.6392376815161704e-18
-486.2124060150376,-518.05,-9.668336384378516e-18,-2.6377901058779764e-17,-1.0168298795775825e-17
-483.7061403508772,-518.05,-5.550920975573726e-19,-1.739351900176172e-18,-5.11282799966149e-20
-481.1998746867168,-518.05,-7.894281210447158e-18,-2.8369046950542015e-17,3.1122363170071953e-18
-478.6936090225564,-518.05,-1.3464368995529812e-17,-5.639625254213811e-17,6.618391013417161e-18
-476.187343358396,-518.05,-1.7329391115372173e-17,-8.592387722272635e-17,1.0501145248258473e-17
-473.68107769423557,-518.05,-1.1448083748135995e-17,-6.18472029211311e-17,7.543477836102323e-18
-471.1748120300752,-518.05,-5.073637544309625e-18,-2.976938436412469e-17,3.631269281543439e-18
-468.6685463659148,-518.05,-4.650845146517865e-18,-3.224281001874491e-17,-1.1236855654859976e-17
-466.1622807017544,-518.05,-2.8882639143238818e-18,-2.1247355913294054e-17,-6.0598611855265905e-18
-463.656015037594,-518.05,-1.1493464124194597e-18,-9.037843600607698e-18,-1.6784612053612824e-18
-461.14974937343356,-518.05,-1.3073186832324774e-18,-1.2837630643142188e-17,8.72227659664735e-19
-458.6434837092732,-518.05,-4.347790536749027e-18,-4.648311662789725e-17,4.144431368949096e-18
-456.1372180451128,-518.05,-6.742548815059866e-18,-7.957188774725782e-17,8.32825841543532e-18
-453.6309523809524,-518.05,-5.014160666055781e-18,-7.53659343709868e-17,1.291413254904003e-17
-451.124686716792,-518.05,-2.3038589256136253e-18,-3.4276774724610015e-17,6.4216946369969204e-18
-448.61842105263156,-518.05,-3.655299862965084e-19,-5.481693422909042e-18,9.466019326727072e-19
-446.1121553884712,-518.05,-6.245983925126164e-19,-9.246236059627875e-18,1.5256009308106812e-18
-443.60588972431077,-518.05,-3.956377910594961e-19,-5.7926619399785775e-18,7.60839410290714e-19
-441.0996240601504,-518.05,-2.0020804349013411e-19,-2.762631918559137e-18,1.233476690458523e-19
-438.59335839599,-518.05,-1.7276505267158195e-19,-1.2116842423158315e-17,-2.592460413840657e-18
-436.08709273182956,-518.05,-8.126419816349928e-19,-4.664377445724303e-17,-7.004168169285335e-18
-433.5808270676692,-518.05,-1.7444990541985698e-18,-8.145402266175622e-17,-1.0377478885415789e-17
-431.07456140350877,-518.05,-1.5848563067796674e-19,-6.020992526278368e-18,-1.008468964138822e-18
-428.5682957393484,-518.05,-1.8142246105420693e-19,-2.865913452925003e-18,8.415107312069461e-19
-426.062030075188,-518.05,-8.691571913242607e-19,-1.45156074198673e-17,3.810939470825423e-18
-423.55576441102755,-518.05,-7.57808058591745e-20,-1.7070209341737856e-18,1.4275050086596495e-18
-421.0494987468672,-518.05,-5.809658036762926e-19,-1.3654793637565691e-17,9.18384601814435e-18
-418.54323308270676,-518.05,-1.0867288543539294e-18,-2.6091765753882318e-17,1.7227012362717535e-17
-416.0369674185464,-518.05,-6.096162659607569e-20,-2.844936680349638e-18,1.9612694721276364e-18
-413.530701754386,-518.05,-2.806850261867168e-19,-1.4247835853811483e-17,9.005967896033695e-18
-411.02443609022555,-518.05,-4.518573060993038e-19,-2.5102712629544814e-17,1.6586509862647544e-17
-408.5181704260652,-518.05,-5.789627692562525e-19,-3.543806788463727e-17,2.4683250348502957e-17
-406.01190476190476,-518.05,1.16555083002947e-19,-3.487734106757387e-17,5.545542399234102e-18
-403.5056390977444,-518.05,1.262614876649723e-18,-6.965553946912354e-17,1.3152133475424025e-17
-400.99937343358397,-518.05,-3.402559793177474e-20,-4.0626823606691174e-18,-5.684317739369982e-19
-398.49310776942355,-518.05,-7.117372604832686e-20,-3.669020884464182e-18,-9.33616344809978e-19
-395.9868421052632,-518.05,-8.623316965040531e-20,-2.988733408023477e-18,-1.406036049243468e-18
-393.48057644110276,-518.05,3.895752286131898e-20,-4.346370531676901e-18,-1.2109104306011932e-18
-390.9743107769424,-518.05,6.685272532275362e-21,-2.898186007481294e-18,-9.491488396195312e-19
-388.46804511278197,-518.05,-5.487206252302594e-21,-1.5933859507247301e-18,-1.0817907611185607e-18
-385.96177944862154,-518.05,2.333503217373535e-19,-1.0549973187937423e-17,1.9866783466040396e-18
-383.4555137844612,-518.05,5.157682259499067e-19,-2.799418857705464e-17,5.5431958579571e-18
-380.94924812030075,-518.05,-3.5348999430144404e-19,-4.832650394718072e-17,7.636948056086702e-18
-378.4429824561404,-518.05,-1.921531970178473e-19,-1.394395326649359e-17,2.808033005503731e-18
-375.93671679197996,-518.05,-1.0049948528108319e-19,-5.15395613078394e-17,9.376470743640267e-18
-373.43045112781954,-518.05,6.070576272022723e-19,-4.3959932498093813e-17,6.698747218944947e-18
-370.9241854636591,-518.05,4.729525896892836e-19,-2.2961778972912886e-17,3.554610334832507e-18
-368.41791979949875,-518.05,6.208027733578695e-20,-2.687094348112726e-18,5.142665917815522e-19
-365.9116541353384,-518.05,3.5267385750839297e-19,-8.087601781863206e-17,4.014391198822019e-17
-363.40538847117796,-518.05,-1.1084361705183614e-19,-4.2907934357498825e-17,2.1303324979168607e-17
-360.89912280701753,-518.05,-1.6737223283338118e-20,-2.177837009542362e-18,1.8844379467748226e-18
-358.3928571428571,-518.05,4.335851165401278e-19,-2.7412339604810896e-17,-5.697057262100075e-18
-355.88659147869674,-518.05,2.659848457101366e-19,-1.691484047521873e-17,-3.4485023653282117e-18
-353.3803258145364,-518.05,1.0408016603087574e-19,-6.706575696276375e-18,-1.450244749352295e-18
-350.87406015037595,-518.05,-1.6239234583870608e-20,-2.6127913689682064e-18,3.984817214298637e-19
-348.36779448621553,-518.05,-4.11121849200301e-19,-4.231872901095804e-17,9.497604819167111e-18
-345.8615288220551,-518.05,1.9442968593963217e-19,-1.4295992865844494e-17,6.581852810389526e-18
-343.35526315789474,-518.05,-3.2545325366489886e-19,-3.2994035379828164e-17,7.46210618533771e-18
-340.8489974937344,-518.05,-1.6913878617857226e-20,-2.0846987367131376e-18,2.0797481292146588e-19
-338.34273182957395,-518.05,-1.0772868993709366e-20,-2.62956035046735e-18,3.719634485469438e-19
-335.8364661654135,-518.05,3.6592627580432654e-18,-9.674429303399951e-17,-1.3552943674159394e-17
-333.3302005012531,-518.05,2.699598811397354e-18,-7.371085872671587e-17,-1.1050955796649912e-17
-330.82393483709274,-518.05,1.7909001589961383e-18,-5.046435938765449e-17,-7.432433576588712e-18
-328.31766917293237,-518.05,9.809548099256199e-19,-8.238090927749901e-17,-2.970833446731617e-17
-325.81140350877195,-518.05,6.950355470179215e-19,-5.936108655992979e-17,-2.068212313670346e-17
-323.3051378446115,-518.05,4.260022828789621e-19,-3.708319337997971e-17,-1.2204660353357726e-17
-320.7988721804511,-518.05,-1.0908705784703091e-19,-1.3743127128513662e-17,-8.419622936950812e-19
-318.29260651629073,-518.05,-3.180021407561594e-19,-2.9678316834253144e-17,-1.4008162682521094e-18
-315.78634085213037,-518.05,-1.035063159928259e-19,-4.1473963027340925e-17,2.0775450769621634e-17
-313.28007518796994,-518.05,-1.132965535013399e-20,-2.5179764196430215e-17,1.3791413534402014e-17
-310.7738095238095,-518.05,2.16842293887484e-20,-1.1484069631194744e-17,7.129799467808666e-18
-308.2675438596491,-518.05,7.455861406362638e-19,-3.4990054392059375e-17,2.076421078517103e-17
-305.7612781954887,-518.05,1.022969851827296e-18,-4.5303167502780366e-17,1.3065266847654783e-17
-303.25501253132836,-518.05,2.357812896112539e-18,-7.660547068024833e-17,2.393315135995868e-17
-300.74874686716794,-518.05,1.1750447315969672e-19,-9.553408386818142e-18,-1.1801877776194725e-18
-298.2424812030075,-518.05,-6.698799356661951e-20,-2.0126775836594596e-17,-1.4126033045956242e-18
-295.7362155388471,-518.05,-5.701042933599116e-19,-3.143041727428098e-17,-2.745766085138483e-18
-293.2299498746867,-518.05,4.017886539645159e-21,-8.994162110648176e-19,5.210690768385163e-19
-290.72368421052636,-518.05,4.431672671842237e-21,-3.74055226192892e-18,1.0724832514708837e-18
-288.21741854636593,-518.05,-3.266608236199848e-20,-6.676082614435233e-18,1.5953178267234937e-18
-285.7111528822055,-518.05,-1.0318481090986016e-19,-9.705118330613081e-18,2.3251756934003953e-18
-283.2048872180451,-518.05,7.542597343771423e-19,-3.2536949638107713e-17,7.092607534052023e-18
-280.6986215538847,-518.05,-1.5715160057916513e-18,-5.991513225946467e-17,1.4290271177183107e-17
-278.19235588972435,-518.05,-6.667949683892199e-19,-9.741869298234082e-17,-1.2045206373866832e-17
-275.68609022556393,-518.05,-1.0232818152551039e-19,-1.1582220469936793e-17,-3.232220163460581e-18
-273.1798245614035,-518.05,-5.487124145596144e-20,-7.303768780413977e-18,-2.05637759876018e-18
-270.6735588972431,-518.05,-1.2926713152019995e-20,-1.6068946177517532e-18,-1.4459570298088333e-18
-268.1672932330827,-518.05,5.24763354437853e-20,-1.470737712972395e-17,-3.633357881884844e-18
-265.66102756892235,-518.05,-2.3712389412585287e-20,-2.6655048421895135e-17,-4.487898878109221e-18
-263.1547619047619,-518.05,-6.592913686942943e-20,-3.293100300437217e-18,7.768263785521608e-19
-260.6484962406015,-518.05,-1.4526502230275053e-19,-2.881655615607989e-17,6.592104339008255e-18
-258.1422305764411,-518.05,5.254726566564004e-19,-5.4642789084089714e-17,1.2526149023050661e-17
-255.6359649122807,-518.05,3.401106254246521e-19,-3.009703874840006e-17,6.8656367735689306e-18
-253.12969924812032,-518.05,4.840486969570628e-19,-8.555228304283747e-17,1.8608666447507378e-17
-250.62343358395992,-518.05,-3.9827648346600577e-19,-1.9583286354729234e-17,4.3248179846261725e-18
-248.1171679197995,-518.05,-1.4835192967022977e-18,-3.143520132884274e-17,7.831178104849834e-18
-245.6109022556391,-518.05,-6.009328885919226e-19,-1.0542410837526543e-17,2.547216468468169e-18
-243.1046365914787,-518.05,-3.7729880957404184e-18,-7.666769297213899e-17,1.7860110385592764e-17
-240.59837092731829,-518.05,-2.134542714629139e-18,-4.5556565314496327e-17,1.0286453744019742e-17
-238.09210526315792,-518.05,-5.71154873937771e-19,-1.273134893948855e-17,3.0639453971199505e-18
-235.5858395989975,-518.05,-7.180564114951082e-20,-2.4433509112340784e-18,7.921103082151901e-19
-233.07957393483713,-518.05,-1.6678219557819023e-19,-5.161428102711917e-18,1.4165479818652341e-18
-230.5733082706767,-518.05,-3.11259000372764e-19,-8.076329209524079e-18,2.0339993545657337e-18
-228.06704260651628,-518.05,-2.9549055198194377e-18,-8.787186975144404e-17,4.559795903461818e-17
-225.56077694235591,-518.05,-3.7557160333154437e-19,-7.102005409128833e-18,1.2530635803449368e-18
-223.0545112781955,-518.05,-1.1556006455770075e-18,-1.9396151152946096e-17,2.9753171634774612e-18
-220.54824561403512,-518.05,-8.991773878740017e-19,-1.1187386521166137e-17,1.4320160634882516e-18
-218.0419799498747,-518.05,-5.398703602601741e-19,-7.591540269155996e-18,9.176827689980845e-19
