x,y,strain_value
-501.25,-518.05,-9.374587514457221e-05
-498.7437343358396,-518.05,-0.00012452633713644804
-496.2374686716792,-518.05,-0.00014913555213513584
-493.7312030075188,-518.05,-0.0001406332140861429
-491.2249373433584,-518.05,-0.00013213087603715015
-488.718671679198,-518.05,-0.00012073688489443735
-486.2124060150376,-518.05,-0.00010749769532496849
-483.7061403508772,-518.05,-9.574855942391277e-05
-481.1998746867168,-518.05,-8.537631019299312e-05
-478.6936090225564,-518.05,-7.50040609620737e-05
-476.187343358396,-518.05,-6.463181173115405e-05
-473.68107769423557,-518.05,-5.8133469277649015e-05
-471.1748120300752,-518.05,-5.215444870559633e-05
-468.6685463659148,-518.05,-4.670338480443969e-05
-466.1622807017544,-518.05,-4.370746380231626e-05
-463.656015037594,-518.05,-4.071154280019276e-05
-461.14974937343356,-518.05,-3.760074664168383e-05
-458.6434837092732,-518.05,-3.423304786071302e-05
-456.1372180451128,-518.05,-3.086534907974213e-05
-453.6309523809524,-518.05,-2.9814757044177715e-05
-451.124686716792,-518.05,-3.067872457016361e-05
-448.61842105263156,-518.05,-3.045456365489765e-05
-446.1121553884712,-518.05,-2.4488699932023903e-05
-443.60588972431077,-518.05,-1.835267118423928e-05
-441.0996240601504,-518.05,-1.2216642436454803e-05
-438.59335839599,-518.05,-9.118031226545375e-06
-436.08709273182956,-518.05,-1.1845286441741075e-05
-433.5808270676692,-518.05,-1.4572541656936713e-05
-431.07456140350877,-518.05,-1.559522059733155e-05
-428.5682957393484,-518.05,-1.148397155680155e-05
-426.062030075188,-518.05,-5.563769337042537e-06
-423.55576441102755,-518.05,-5.772273051363825e-06
-421.0494987468672,-518.05,-8.848709452166296e-06
-418.54323308270676,-518.05,-1.1925145852968837e-05
-416.0369674185464,-518.05,-1.3655439723675107e-05
-413.530701754386,-518.05,-1.42215296151026e-05
-411.02443609022555,-518.05,-1.4787619506530094e-05
-408.5181704260652,-518.05,-1.5353709397957576e-05
-406.01190476190476,-518.05,-4.975880613616735e-06
-403.5056390977444,-518.05,5.592186629734515e-06
-400.99937343358397,-518.05,1.2407763605968414e-05
-398.49310776942355,-518.05,6.023948569724286e-06
-395.9868421052632,-518.05,-3.598664665196946e-07
-393.48057644110276,-518.05,-4.233078804737884e-06
-390.9743107769424,-518.05,-4.073042868628631e-06
-388.46804511278197,-518.05,-3.9130069325193775e-06
-385.96177944862154,-518.05,-3.559373228418027e-06
-383.4555137844612,-518.05,-2.986847234739802e-06
-380.94924812030075,-518.05,-2.79562227994916e-06
-378.4429824561404,-518.05,-6.7854894245707344e-06
-375.93671679197996,-518.05,-5.391441998727218e-06
-373.43045112781954,-518.05,-1.5440569473753205e-06
-370.9241854636591,-518.05,2.2662525161491336e-06
-368.41791979949875,-518.05,6.076561979673502e-06
-365.9116541353384,-518.05,6.2849378063580636e-06
-363.40538847117796,-518.05,6.1292733398103444e-06
-360.89912280701753,-518.05,5.973608873262627e-06
-358.3928571428571,-518.05,3.7290940702924677e-06
-355.88659147869674,-518.05,1.399070774018544e-06
-353.3803258145364,-518.05,-9.309525222553794e-07
-350.87406015037595,-518.05,-1.050433590003997e-06
-348.36779448621553,-518.05,-8.109732947202856e-07
-345.8615288220551,-518.05,-5.360729477174088e-07
-343.35526315789474,-518.05,2.0399564027784043e-07
-340.8489974937344,-518.05,7.008602415963718e-07
-338.34273182957395,-518.05,1.2546067160815608e-06
-335.8364661654135,-518.05,2.8043827293776947e-06
-333.3302005012531,-518.05,4.718294661703372e-06
-330.82393483709274,-518.05,6.632206594029007e-06
-328.31766917293237,-518.05,6.482704698316192e-06
-325.81140350877195,-518.05,4.962695850023342e-06
-323.3051378446115,-518.05,3.442687001730493e-06
-320.7988721804511,-518.05,1.3628443533861117e-06
-318.29260651629073,-518.05,-7.400280869444367e-07
-315.78634085213037,-518.05,-2.737152169728526e-06
-313.28007518796994,-518.05,-1.075383081401194e-06
-310.7738095238095,-518.05,5.863860069261384e-07
-308.2675438596491,-518.05,1.7882781443175897e-06
-305.7612781954887,-518.05,1.8620582657130165e-06
-303.25501253132836,-518.05,1.932979426184537e-06
-300.74874686716794,-518.05,2.0251986167487083e-06
-298.2424812030075,-518.05,1.6144276218115883e-06
-295.7362155388471,-518.05,1.2036566268744686e-06
-293.2299498746867,-518.05,6.749331710330007e-07
-290.72368421052636,-518.05,-1.6445231003569996e-06
-288.21741854636593,-518.05,-3.9639793717470546e-06
-285.7111528822055,-518.05,-6.283435643137107e-06
-283.2048872180451,-518.05,-3.8666564175735865e-06
-280.6986215538847,-518.05,-6.657425077553862e-07
-278.19235588972435,-518.05,1.7274272336541485e-06
-275.68609022556393,-518.05,2.61777360514209e-06
-273.1798245614035,-518.05,3.873704326493425e-06
-270.6735588972431,-518.05,5.116150929952871e-06
-268.1672932330827,-518.05,-2.0297234281897554e-06
-265.66102756892235,-518.05,-9.622704567486526e-06
-263.1547619047619,-518.05,-1.5310365483232682e-05
-260.6484962406015,-518.05,-7.89525107946716e-06
-258.1422305764411,-518.05,-4.801366757016427e-07
-255.6359649122807,-518.05,4.1447492755817577e-07
-253.12969924812032,-518.05,1.1170520558860501e-06
-250.62343358395992,-518.05,1.8106507526417771e-06
-248.1171679197995,-518.05,-3.202324197469418e-06
-245.6109022556391,-518.05,-1.0577810303603237e-05
-243.1046365914787,-518.05,-1.3516093534009818e-05
-240.59837092731829,-518.05,-1.3416537182789512e-05
-238.09210526315792,-518.05,-1.331698083156921e-05
-235.5858395989975,-518.05,-1.3400555745885374e-05
-233.07957393483713,-518.05,-1.3584454744799734e-05
-230.5733082706767,-518.05,-1.3768353743714103e-05
-228.06704260651628,-518.05,-1.3089801676367261e-05
-225.56077694235591,-518.05,-1.0848233599319294e-05
-223.0545112781955,-518.05,-7.4147452399370325e-06
-220.54824561403512,-518.05,-1.2640732994718644e-05
-218.0419799498747,-518.05,-1.951091133804027e-05
-215.53571428571428,-518.05,-2.63810896813619e-05
-213.0294486215539,-518.05,-2.61714367149234e-05
-210.5231829573935,-518.05,-2.126130626693918e-05
-208.01691729323312,-518.05,-1.6351175818955064e-05
-205.5106516290727,-518.05,-1.3953728137947511e-05
-203.00438596491227,-518.05,-1.2571485039909372e-05
-200.4981203007519,-518.05,-1.6750847419677135e-05
-197.99185463659148,-518.05,-3.108558839792716e-05
-195.48558897243112,-518.05,-2.4120961147094534e-05
-192.9793233082707,-518.05,-2.1634982637299095e-05
-190.47305764411027,-518.05,-2.286293507733188e-05
-187.9667919799499,-518.05,-2.4489960201568313e-05
-185.46052631578948,-518.05,-2.7961507042016364e-05
-182.9542606516291,-518.05,-3.1433053882464336e-05
-180.4479949874687,-518.05,-3.380368317751791e-05
-177.94172932330827,-518.05,-3.249563677210273e-05
-175.4354636591479,-518.05,-3.118759036668759e-05
-172.92919799498748,-518.05,-2.9879543961272415e-05
-170.4229323308271,-518.05,-3.1791994342746766e-05
-167.91666666666669,-518.05,-3.5841202538695625e-05
-165.41040100250626,-518.05,-3.9703743770912e-05
-162.9041353383459,-518.05,-3.9384532740333206e-05
-160.39786967418547,-518.05,-3.904899420138381e-05
-157.8916040100251,-518.05,-3.8142171414901996e-05
-155.38533834586468,-518.05,-3.564304572572418e-05
-152.87907268170426,-518.05,-3.3143920036546376e-05
-150.3728070175439,-518.05,-3.449926966367682e-05
-147.86654135338347,-518.05,-3.961695342990606e-05
-145.3602756892231,-518.05,-4.45947649657924e-05
-142.85401002506268,-518.05,-4.636921207094636e-05
-140.34774436090225,-518.05,-4.782963428943273e-05
-137.8414786967419,-518.05,-4.929005650791906e-05
-135.33521303258146,-518.05,-5.088285298849068e-05
-132.8289473684211,-518.05,-5.2787852917376254e-05
-130.32268170426067,-518.05,-5.469285284626187e-05
-127.81641604010025,-518.05,-5.624091584508864e-05
-125.31015037593988,-518.05,-5.635480920314102e-05
