x,y,strain_value
-501.25,-518.05,-4.1288901579815074e-07
-498.7437343358396,-518.05,1.5975549707705432e-06
-496.2374686716792,-518.05,3.511644621011249e-06
-493.7312030075188,-518.05,4.908749337378509e-06
-491.2249373433584,-518.05,6.305854053745765e-06
-488.718671679198,-518.05,6.126533923532375e-06
-486.2124060150376,-518.05,4.941278242773059e-06
-483.7061403508772,-518.05,2.4127887931769536e-06
-481.1998746867168,-518.05,3.759268634463875e-06
-478.6936090225564,-518.05,5.105748475750767e-06
-476.187343358396,-518.05,6.452228317037688e-06
-473.68107769423557,-518.05,4.741134084775355e-06
-471.1748120300752,-518.05,2.62015257029653e-06
-468.6685463659148,-518.05,1.0433714582654564e-06
-466.1622807017544,-518.05,-6.815207784866721e-07
-463.656015037594,-518.05,-2.4064130152388394e-06
-461.14974937343356,-518.05,-1.8722142974113507e-06
-458.6434837092732,-518.05,3.714133282475678e-06
-456.1372180451128,-518.05,9.300480862362835e-06
-453.6309523809524,-518.05,7.021555382306067e-06
-451.124686716792,-518.05,-9.578515068886818e-07
-448.61842105263156,-518.05,-9.040232222543758e-06
-446.1121553884712,-518.05,-8.161313914859852e-06
-443.60588972431077,-518.05,-6.701880164087068e-06
-441.0996240601504,-518.05,-5.242446413314317e-06
-438.59335839599,-518.05,-3.163342556651115e-06
-436.08709273182956,-518.05,1.0430888016260445e-07
-433.5808270676692,-518.05,3.3719603169762534e-06
-431.07456140350877,-518.05,4.610156139970142e-06
-428.5682957393484,-518.05,2.5637203971699136e-07
-426.062030075188,-518.05,-2.5962615912825157e-06
-423.55576441102755,-518.05,-6.920425040314809e-06
-421.0494987468672,-518.05,-2.5775902863787523e-06
-418.54323308270676,-518.05,1.7652444675574022e-06
-416.0369674185464,-518.05,3.969834496105348e-06
-413.530701754386,-518.05,5.522864332317661e-07
-411.02443609022555,-518.05,-2.8652616296418163e-06
-408.5181704260652,-518.05,-6.2828096925153215e-06
-406.01190476190476,-518.05,-5.60255200143704e-06
-403.5056390977444,-518.05,-4.851062032867333e-06
-400.99937343358397,-518.05,-5.163662121010758e-06
-398.49310776942355,-518.05,-3.986737849725472e-06
-395.9868421052632,-518.05,-2.809813578440214e-06
-393.48057644110276,-518.05,-1.4283585779794396e-06
-390.9743107769424,-518.05,8.594881069768963e-07
-388.46804511278197,-518.05,3.147334791933283e-06
-385.96177944862154,-518.05,3.5451854798210234e-06
-383.4555137844612,-518.05,1.5087534972587764e-06
-380.94924812030075,-518.05,-3.2071491521495436e-07
-378.4429824561404,-518.05,1.1924072184300035e-07
-375.93671679197996,-518.05,-9.81351358491823e-07
-373.43045112781954,-518.05,-1.8651581553037078e-06
-370.9241854636591,-518.05,-8.424617981469599e-07
-368.41791979949875,-518.05,1.8023455900976633e-07
-365.9116541353384,-518.05,-6.264945479899118e-07
-363.40538847117796,-518.05,-1.61812006052169e-06
-360.89912280701753,-518.05,-2.609745573053469e-06
-358.3928571428571,-518.05,-1.2833937420809707e-06
-355.88659147869674,-518.05,1.3784605032159133e-07
-353.3803258145364,-518.05,1.5590858427241534e-06
-350.87406015037595,-518.05,2.468974956982422e-06
-348.36779448621553,-518.05,2.028585052530453e-07
-345.8615288220551,-518.05,-2.047572450121141e-06
-343.35526315789474,-518.05,1.3155491986643928e-06
-340.8489974937344,-518.05,6.562305839823646e-06
-338.34273182957395,-518.05,1.1709230736390619e-05
-335.8364661654135,-518.05,8.638621670112223e-06
-333.3302005012531,-518.05,4.459307386192775e-06
-330.82393483709274,-518.05,2.799931022734233e-07
-328.31766917293237,-518.05,-9.565410083341316e-07
-325.81140350877195,-518.05,-2.3849837207835107e-07
-323.3051378446115,-518.05,4.795442641774292e-07
-320.7988721804511,-518.05,-2.850857709103661e-07
-318.29260651629073,-518.05,-1.1845627589901674e-06
-315.78634085213037,-518.05,-1.9936734882044755e-06
-313.28007518796994,-518.05,3.238883393124541e-07
-310.7738095238095,-518.05,2.6414501668293845e-06
-308.2675438596491,-518.05,2.8972092230659924e-06
-305.7612781954887,-518.05,-1.4207241916917388e-06
-303.25501253132836,-518.05,-5.713228527076102e-06
-300.74874686716794,-518.05,-6.477963782230829e-06
-298.2424812030075,-518.05,-5.9333928296578625e-06
-295.7362155388471,-518.05,-5.388821877084893e-06
-293.2299498746867,-518.05,-4.675029370293889e-06
-290.72368421052636,-518.05,-1.3921459949187001e-06
-288.21741854636593,-518.05,1.8907373804565641e-06
-285.7111528822055,-518.05,5.173620755831827e-06
-283.2048872180451,-518.05,4.069535166425234e-06
-280.6986215538847,-518.05,-1.0078578109762666e-06
-278.19235588972435,-518.05,-2.4531510340698664e-06
-275.68609022556393,-518.05,7.883424343159128e-07
-273.1798245614035,-518.05,1.8095448124545305e-06
-270.6735588972431,-518.05,2.785068194888341e-06
