x,y,strain_value
-501.25,-518.05,-7.52863553532582e-05
-498.7437343358396,-518.05,-0.00022540053699303056
-496.2374686716792,-518.05,-0.0003500760976060068
-493.7312030075188,-518.05,-0.0003382618611782307
-491.2249373433584,-518.05,-0.000326447624750455
-488.718671679198,-518.05,-0.0003645816197179751
-486.2124060150376,-518.05,-0.00043458817857981887
-483.7061403508772,-518.05,-0.0004955393825353917
-481.1998746867168,-518.05,-0.0005404966348930727
-478.6936090225564,-518.05,-0.0005854538872507527
-476.187343358396,-518.05,-0.0006304111396084336
-473.68107769423557,-518.05,-0.0005875378621764684
-471.1748120300752,-518.05,-0.0005328903427195727
-468.6685463659148,-518.05,-0.0004884919782813258
-466.1622807017544,-518.05,-0.0005453755881575215
-463.656015037594,-518.05,-0.0006022591980337183
-461.14974937343356,-518.05,-0.0006354437298650957
-458.6434837092732,-518.05,-0.000615628505341699
-456.1372180451128,-518.05,-0.0005958132808183018
-453.6309523809524,-518.05,-0.0006150592695525125
-451.124686716792,-518.05,-0.000648867187257937
-448.61842105263156,-518.05,-0.0006593531868497926
-446.1121553884712,-518.05,-0.0006432329403537354
-443.60588972431077,-518.05,-0.0006295201956433388
-441.0996240601504,-518.05,-0.0006158074509329426
-438.59335839599,-518.05,-0.0006048335580990239
-436.08709273182956,-518.05,-0.0005991128729626121
-433.5808270676692,-518.05,-0.0005933921878262004
-431.07456140350877,-518.05,-0.0005863801058288897
-428.5682957393484,-518.05,-0.0005721575961446737
-426.062030075188,-518.05,-0.0005332426165306288
-423.55576441102755,-518.05,-0.0004963716987856591
-421.0494987468672,-518.05,-0.0005091052922466877
-418.54323308270676,-518.05,-0.0005218388857077165
-416.0369674185464,-518.05,-0.000533365654583585
-413.530701754386,-518.05,-0.0005452786783130303
-411.02443609022555,-518.05,-0.0005571917020424755
-408.5181704260652,-518.05,-0.0005691047257719205
-406.01190476190476,-518.05,-0.0005893996337617984
-403.5056390977444,-518.05,-0.0006098402442913731
-400.99937343358397,-518.05,-0.000617496606306414
-398.49310776942355,-518.05,-0.000592490256481821
-395.9868421052632,-518.05,-0.0005674839066572288
-393.48057644110276,-518.05,-0.0005547695260382008
-390.9743107769424,-518.05,-0.0005655976147494549
-388.46804511278197,-518.05,-0.0005764257034607092
-385.96177944862154,-518.05,-0.0005812322199338995
-383.4555137844612,-518.05,-0.0005758279088662726
-380.94924812030075,-518.05,-0.0005743404953600237
-378.4429824561404,-518.05,-0.0006158031600803333
-375.93671679197996,-518.05,-0.0006516284052397889
-373.43045112781954,-518.05,-0.0006665702519745522
-370.9241854636591,-518.05,-0.0006437590524485445
-368.41791979949875,-518.05,-0.0006209478529225373
-365.9116541353384,-518.05,-0.0006074096733709044
-363.40538847117796,-518.05,-0.0005948086995679017
-360.89912280701753,-518.05,-0.0005822077257648991
-358.3928571428571,-518.05,-0.0005763314400342776
-355.88659147869674,-518.05,-0.0005707304339323517
-353.3803258145364,-518.05,-0.000565129427830426
-350.87406015037595,-518.05,-0.0005756000053090409
-348.36779448621553,-518.05,-0.000587489823467421
-345.8615288220551,-518.05,-0.0005988653890025307
-343.35526315789474,-518.05,-0.0006097295427702292
-340.8489974937344,-518.05,-0.000623507798657377
-338.34273182957395,-518.05,-0.0006343056660265846
-335.8364661654135,-518.05,-0.0006093467032947435
-333.3302005012531,-518.05,-0.0005799000396128484
-330.82393483709274,-518.05,-0.0005504533759309541
-328.31766917293237,-518.05,-0.000540121807292423
-325.81140350877195,-518.05,-0.00054248636887276
-323.3051378446115,-518.05,-0.0005448509304530971
-320.7988721804511,-518.05,-0.0005530808402992276
-318.29260651629073,-518.05,-0.0005682074714061741
-315.78634085213037,-518.05,-0.00058284565661983
