x,y,strain_value
-501.25,-518.05,-8.46221763215858e-06
-498.7437343358396,-518.05,-0.0002151896930786076
-496.2374686716792,-518.05,-0.00038980357550303686
-493.7312030075188,-518.05,-0.00039211339359908597
-491.2249373433584,-518.05,-0.00039442321169513503
-488.718671679198,-518.05,-0.00042448226225236886
-486.2124060150376,-518.05,-0.0004722484299573129
-483.7061403508772,-518.05,-0.0005144701522978144
-481.1998746867168,-518.05,-0.000553314734357538
-478.6936090225564,-518.05,-0.000592159316417261
-476.187343358396,-518.05,-0.0006310038984769845
-473.68107769423557,-518.05,-0.0005885344092516119
-471.1748120300752,-518.05,-0.0005351642507756248
-468.6685463659148,-518.05,-0.0004918027359229496
-466.1622807017544,-518.05,-0.0005514838536554035
-463.656015037594,-518.05,-0.0006111649713878586
-461.14974937343356,-518.05,-0.0006430559032478364
-458.6434837092732,-518.05,-0.0006127978739748233
-456.1372180451128,-518.05,-0.0005825398447018096
-453.6309523809524,-518.05,-0.0006023814497598547
-451.124686716792,-518.05,-0.0006455875803840021
-448.61842105263156,-518.05,-0.0006625237949592624
-446.1121553884712,-518.05,-0.000647068142525224
-443.60588972431077,-518.05,-0.0006341722499277533
-441.0996240601504,-518.05,-0.0006212763573302827
-438.59335839599,-518.05,-0.0006082263209394083
-436.08709273182956,-518.05,-0.0005948806316988906
-433.5808270676692,-518.05,-0.000581534942458373
-431.07456140350877,-518.05,-0.0005702387444395682
-428.5682957393484,-518.05,-0.0005620182063148642
-426.062030075188,-518.05,-0.0005342225836706234
-423.55576441102755,-518.05,-0.0004993949720114378
-421.0494987468672,-518.05,-0.0005098580571125708
-418.54323308270676,-518.05,-0.0005203211422137042
-416.0369674185464,-518.05,-0.0005307430530266029
-413.530701754386,-518.05,-0.0005450267938142246
-411.02443609022555,-518.05,-0.0005593105346018462
-408.5181704260652,-518.05,-0.0005735942753894675
-406.01190476190476,-518.05,-0.0005858996754113055
-403.5056390977444,-518.05,-0.0005981706858776431
-400.99937343358397,-518.05,-0.0006007600556907315
-398.49310776942355,-518.05,-0.0005865603480071017
-395.9868421052632,-518.05,-0.0005723606403234726
-393.48057644110276,-518.05,-0.0005648647720870305
