x,y,strain_value
-501.25,-518.05,2.708961869047613e-10
-498.7437343358396,-518.05,5.341775564979539e-06
-496.2374686716792,-518.05,7.92870160131719e-06
-493.7312030075188,-518.05,-4.26394229582656e-06
-491.2249373433584,-518.05,-1.6456586192970083e-05
-488.718671679198,-518.05,-1.324564838010403e-05
-486.2124060150376,-518.05,-2.0550083268672601e-07
-483.7061403508772,-518.05,1.631476123729151e-05
-481.1998746867168,-518.05,3.312637093313337e-05
-478.6936090225564,-518.05,4.993798062897491e-05
-476.187343358396,-518.05,6.674959032481677e-05
-473.68107769423557,-518.05,5.4954409882936805e-05
-471.1748120300752,-518.05,3.932430698932336e-05
-468.6685463659148,-518.05,2.500615169372418e-05
-466.1622807017544,-518.05,2.4858592892647577e-05
-463.656015037594,-518.05,2.471103409157092e-05
-461.14974937343356,-518.05,3.476423094109107e-05
-458.6434837092732,-518.05,6.763002679103655e-05
-456.1372180451128,-518.05,0.00010049582264098267
-453.6309523809524,-518.05,0.0001120948868142301
-451.124686716792,-518.05,0.0001009728972134805
-448.61842105263156,-518.05,9.512403538416643e-05
-446.1121553884712,-518.05,7.882675795214547e-05
-443.60588972431077,-518.05,6.095166647530042e-05
-441.0996240601504,-518.05,4.307657499845575e-05
-438.59335839599,-518.05,2.803106484887556e-05
-436.08709273182956,-518.05,1.8412784458148595e-05
-433.5808270676692,-518.05,8.794504067421598e-06
-431.07456140350877,-518.05,7.4650426758408805e-06
-428.5682957393484,-518.05,2.964480344116376e-05
-426.062030075188,-518.05,5.0399665667483574e-05
-423.55576441102755,-518.05,6.270519065036015e-05
-421.0494987468672,-518.05,6.0866851946854605e-05
-418.54323308270676,-518.05,5.9028513243349145e-05
-416.0369674185464,-518.05,6.19004333113676e-05
-413.530701754386,-518.05,7.225285204853246e-05
-411.02443609022555,-518.05,8.260527078569737e-05
-408.5181704260652,-518.05,9.295768952286205e-05
-406.01190476190476,-518.05,8.695271894332279e-05
-403.5056390977444,-518.05,8.066340738599437e-05
-400.99937343358397,-518.05,7.377077188629356e-05
-398.49310776942355,-518.05,6.446207258722873e-05
-395.9868421052632,-518.05,5.515337328816404e-05
-393.48057644110276,-518.05,4.826119690074983e-05
-390.9743107769424,-518.05,4.805385580709457e-05
-388.46804511278197,-518.05,4.7846514713439285e-05
-385.96177944862154,-518.05,5.012754270078184e-05
-383.4555137844612,-518.05,5.484672938624007e-05
-380.94924812030075,-518.05,6.23598560201208e-05
-378.4429824561404,-518.05,0.00010050945896326485
-375.93671679197996,-518.05,8.472120396304976e-05
-373.43045112781954,-518.05,5.758255361570132e-05
